rank,noun,adj,count
695,kofta,amazing,1
696,sauce,so delicious,1
697,sauce,garlic,1
698,sauce,red,1
699,everything,fantastic,1
700,location,best,1
701,chicken,worth,1
702,kabob,worth,1
703,bit,odd,1
704,waiter,odd,1
705,food,still very good,1
706,price,fair,1
707,service,excellent,1
708,veal filet mignon,most tender,1
709,chicken,extremely flavourful,1
710,chicken,moist,1
711,beef kofta,extremely flavourful,1
712,beef kofta,moist,1
713,naan,best,1
714,time,ridiculously long,1
715,dish,huge,1
716,dish,easily feed,1
717,orange sauce,spicy,1
718,orange sauce,delicious,1
719,restaurant,airy,1
720,lot,big,1
721,lot,airy,1
722,service,quite slow,1
723,service,witness,1
724,min,extra,1
725,benefit,much,1
726,restaurant,very busy,1
727,restaurant,as soon,1
728,drink,soft,1
729,way,very tasty,1
730,food,very flavourful,1
731,decor,also beautiful,1
732,experience,bad,1
733,staff,young,1
734,customer service,wonderful,1
735,food,very good,1
736,flavour,overall,1
737,sauce,yummy,1
738,patient service,slow,1
739,price,affordable,1
740,staff,enough,1
741,I,pregnant,1
742,kebab,afghan,1
743,family,so many,1
744,group,so many,1
745,kebab,better,1
746,naan,better,1
747,decor,pretty nice,1
748,self seating/self service type establishment,pretty nice,1
749,it,usually very busy,1
750,dinner time,usually very busy,1
751,nightmare,big,1
752,family,other,1
753,family,nice,1
754,it,less chaotic,1
755,diner,fellow,1
756,look,glaring,1
757,table,dirty,1
758,holiday,special,1
759,Ramadan,special,1
760,holiday,islamic,1
761,Ramadan,islamic,1
762,it,very noisy,1
763,family,large,1
764,family,very noisy,1
765,child,young,1
766,kid,young,1
767,nightmare,similar,1
768,cleanliness,different,1
769,staff,different,1
770,restaurant,nice,1
771,glass water,nice,1
772,place,spacious,1
773,staff,few,1
774,staff,spacious,1
775,they,best,1
776,tray,dirty,1
777,plate,empty,1
778,tray,empty,1
779,music playing,afghani,1
780,area,separate,1
781,kabob,chapli,1
782,style,new,1
783,fork,very small,1
784,fork,hard,1
785,salad,average,1
786,meat,very flavourful,1
787,tender,very flavourful,1
788,meat,specific,1
789,grain,long,1
790,hit,big,1
791,bread,afghani,1
792,meal,main,1
793,number,ready,1
794,portion,great,1
795,hair,big,1
796,hair,disgusting,1
797,food,so good,1
798,rice fan,huge,1
799,dining,casual,1
800,ambiance,modern,1
801,it,marinaded,1
802,it,just perfect,1
803,palow,also delicious,1
804,palow,very flavorful,1
805,rice,brown,1
806,month,again next,1
807,make,loud,1
808,make,amazing,1
809,food,ur,1
810,it,finally ready,1
811,food,not worth,1
812,food,authentic,1
813,size,very big,1
814,order,very big,1
815,people,normal,1
816,food,afghani,1
817,portion,same,1
818,price,same,1
819,Bamiyan Kabob,popular,1
820,Bamiyan Kabob,same,1
821,flavour,far superior,1
822,taste,far superior,1
823,ground beef,filet,1
824,person,average,1
825,rice,so much,1
826,bit,plain,1
827,taste,plain,1
828,sauce,tangy,1
829,sauce,great,1
830,sauce,not too hot,1
831,sauce,taste,1
832,naan,crispy,1
833,naan,tasty,1
834,naan,not taste,1
835,part,best,1
836,tender,so flavourful,1
837,Food,tasty,1
838,Service,hopeless,1
839,staff,pretty un-aware,1
840,time,pretty un-aware,1
841,they,not familiar,1
842,industry standard,not familiar,1
843,staff,arrogant,1
844,staff,obnoxious,1
845,cashier,polite,1
846,guest,incoming,1
847,service,standard,1
848,interior,very nice,1
849,cash,open,1
850,cash,weird,1
851,minute,ready,1
852,bamiyan customer,regular,1
853,rice,too dry,1
854,experience,overall good,1
855,bamiyan,overall good,1
856,food,far superior,1
857,food,come,1
858,rice,extra,1
859,meal,good,1
860,people,good,1
861,portion,come,1
862,meal,great,1
863,wait,huge,1
864,crowd,huge,1
